Sr.no.,Text in meme,Ctaegory
0642.jpg,"ME: WAKE ME UP AT 9AM, I HAVE A VERY IMPORTANT THING AT 10AM  MOM AT 6AM: WAKE UP IT'S 9!  Maa Baap ke decisions galat ho sakte hai, unki niyat nahi",F
0643.jpg,What a familiar smell...  Must be the lotas losing again...,B
0644.jpg,When you don't know the answer but still attempt the question,C
0645.jpg,Original Research Paper Published      2nd author. 1st author. 3rd author.     et al.,C
0646.jpg,Pehle Ladkiyo ko aaise Ladke pasand aate the.   Ab Ladkion aise Ladke pasand aate hai,A
0647.jpg,Meeting with the bestfriend after long time.   Expectations.         Reality.      ,A
0648.jpg,When mom combs your hair,F
0649.jpg,SKY BET CHAMPIONSHIP  EFL.       U E F A EUROPA LEAGUE,E
0650.jpg,WHO YOU ATTEND THE CLASS EARLY IN THE MORNING.      BUT YOU DONT GET ATTENDANCE.      Mujhe ghar jana hai,C
0651.jpg,THAT MOMENT YOU REALIZE             YOU'RE A LOTTERY TEAM,E
0652.jpg,WHEN YOU REALIZE LAVAR BALL WAS RIGHT,E
0653.jpg,LAKERS 2014-15.        TEAM PHOTO,E
0654.jpg,At the dentist       At a golgappa stall,F
0655.jpg,YOU'RE NOT YOU WHEN YOU'RE HUNGRY!      SNICKERS,F
0656.jpg,What others see.        What Ronaldo sees,E
0657.jpg,DON'T YELL AT HIM      HE'S JUST A CHILD,E
0658.jpg,BUT ITS SO HEAVY.       WITH ALL THAT AIR IN IT,E
0659.jpg,How I spend my time.      Using Mobile.   Eating.   Sleeping.    Sad,F
0660.jpg,"If you throw a stone in Banglore, it'll either hit a pothole or a Startup Founder.  ",A
0661.jpg,When I get few reacts on my memes but group is large.           Sale kaise kaise log rahte hai yahan ,A
0662.jpg,This post injured Neymar,E
0663.jpg,WHAT'S WRONG SON?    ARSENAL IS NOT IN THE UCL.     When you beat up on Arsenal anymore.,E
0664.jpg,Types of Headaches.   Migraine. Hypertension. Stress. Getting the bow in arsenal,E
0665.jpg,When unknown person give haha react on my post.   Me: We are friends now.,A
0666.jpg,"WANYNE, WANNA HEAR A JOKE?    ARSENAL",E
0667.jpg,#Arsenal #MCIARS this meme is becoming reality,E
0668.jpg,IT'S SO EASY TO SCORE AGAINST ARSENAL      THAT EVEN MORATA DID,E
0669.jpg,ARSENAL FANS YESTERDAY,E
0670.jpg,WHY CAN'T ARSENAL OPEN UP A RESTAURANT?   BECAUSE THEY HAVE NO SILVERWARE,E
0671.jpg,Giroud scores against Arsenal in the UEL final.      I'M NOT HURT,E
0672.jpg,Noone:  3rd year students before fest:       Paisa kidhar hai?,C
0673.jpg,GETS FIRED AS WEST BROM MANAGER     MAKES IT TO UEFA CL FINAL,E
0674.jpg,IT'S OVER             IT'S FINALLY OVER,E
0675.jpg,"SO IF THE NEXT PRSIDENT IS WHITE.     THE UNITED STATES WILL HAVE SUCCESSFULLY ""GONE BLACK"" AND THEN GONE BACK",B
0676.jpg,FEELINGS   STATISTICS.       ,C
0677.jpg,Me after spending 5min on Tiktok.     Translate Tweet       kaise kaise log rhte hain yahan,A
0678.jpg,The Face you make when pados wali aunty says her son has got 99.999999% in boards,C
0679.jpg,CAT ki seat thi isliye jaane dia.       IIT ki hoti to top krta,C
0680.jpg,So you never taught a class?    And they put you in charge?,C
0681.jpg,CLOSE ENOUGH,F
0682.jpg,THAT FEELING WHEN YOU REALIZE THAT.   YOU'RE IN OVER YOUR HEAD,F
0683.jpg,*Curreny counting machine was invented in 1958:     People before 1957:,D
0684.jpg,ME: IS SHE SINGLE?   FRIEND: GO ASK HER OF SHE'S SINGLE  ME:    Ab syllabus ka sawaal thodi hai jo puchunga,F
0685.jpg,BLAMES INDIAN EDUCATION SYSTEM FOR NOT TEACHING COMPUTER SCIENCE IN FIRST YEAR.   WANTS TO BECOME A BANK MANAGER AFTER GRADUATION,C
0686.jpg,2006.      2013.       FINALLY LEARNED TO WEAR UNDERWARE INSIDE,D
0687.jpg,Thanos Bhai Bolo Zubaan Kesari.         Zubaan Kesari Ajay Bhai,D
0688.jpg,IN SPIDERMAN HOMECOMING MOVIE     Intha suit ah potukuttu paithiyakarathanama ethuvum pannitu irukaatha.   Yeppov Inga paaru kappal rendaa polakuthu,D
0689.jpg,NO TIME TO DIE.     AIN'T NOBODY GOT TIME TO WATCH THAT SHIT,D
0690.jpg,NOW ARWEN AND I CAN FINALLY GET MARRIED. FRODA. WILL YOU BE THE...   ...RINGBEARER?,D
0691.jpg,GOD OF THUNDER   DEFEATED BY SOME ELECTRICITY.   Marvel Logic,D
0692.jpg,ASKED A GIRL OUT     ENT EVENING FIXING HER,F
0693.jpg,PEOPLE NEED TO STOP ARGUING ABOUT WHO'S BETTER BECAUSE...      WE COULD ALWAYS GO BACK TO THIS,D
0694.jpg,hollywood guns in a nutshell:  i got 54 more rounds in this 4 rounds magazine,D
0695.jpg,When you realize you're getting older.    But then remeber that18 years olds are always 18,A
0696.jpg,O LAL DUPATTE WALI TERA NAAM TO BATA..    BOHOT MARUNGA SAALON..,D
0697.jpg,Survived 3 years with a dog.   Died one day after meeting a woman,A
0698.jpg,Everyone excited about Ed Sheeran    Nobody realised I was there too,D
0699.jpg,"8PM.   One beer?      8PM     Alright, one beer.      4AM",F
0700.jpg,Do you have any hobbies?    Eating and complaining that I'm fat ,F
0701.jpg,"Me, in the beginning January.       Me, by end of February",F
0702.jpg,the end slices of bread watching me walk in the door with a new loaf,F
0703.jpg,"My attitude in exams.     They give me questions I don't know, I give them answers they don't know. ",C
0704.jpg,What others see.        What Robben sees,E
0705.jpg,glitches in video games be like,F
0706.jpg,Most beautiful actress     Random girl in temple,D
0707.jpg,It's either i win the argument or we're gonna argue the whole day,A
0708.jpg,Me randomly unfollowing people because of my mood swings,A
0709.jpg,This subway station in Korea is savage,A
0710.jpg,"when you find a perfect article but only the abstract is available      All right, then. Keep your secrets. ",C
0711.jpg,*Tom cruise was born in 1962*   Missions before 1962:     Possible.,D
0712.jpg,When people tell me I'm missing out on the joy of having kids ,A
0713.jpg,LinkedIn: Someone Viewed Your Profile.   Me: Who?  LinkedIn:,A
0714.jpg,WHEN YOU LOSE    THREE MAJOR AWARDS.      TO THE SAME PLAYER!,E
0715.jpg,Mai expert hu. Mujhe sab aata hai,F
0716.jpg,"KOI SIKHE INSE, SIKHE",F
0717.jpg,When your best friend is doing a presentation in class ,F
0718.jpg,The retirement age needs to be lowered to 29 as I already had enough,F
0719.jpg,When a boy update his profile picture      When a girl update her profile picture ,A
0720.jpg,"We all have that friend ""Let's walk, it's not far!"" ",A
0721.jpg,Quantitative researchers looking at qualitative research ,C
0722.jpg,GOING TO WORK     GOING TO TRAVEL ,F
0723.jpg,Do whatever the hell you want.. Just don't hurt people. ,F
0724.jpg,CAPITALISM.          COMMUNISM   WHO HAS HELPED SOCIETY MORE?,B
0725.jpg,To people who reply late.        If I wanted a reply after 2 days then I would have sent the message via a pigeon,F
0726.jpg,"The situation failed you, but you are not a failure. ",F
0727.jpg,"It is in the dark when you realize, how important your soul is...!!!",F
0728.jpg,"""I didn't plagiarized anything!""   ""Don't... Lie... To me.""",C
0729.jpg,"always work on two projects at once. that way you can procrastinate on project A by messing around on project B, and when you get tired of project B you can waste time by working on project A.",C
0730.jpg,A smile confuses an approaching frown. ,F
0731.jpg,Nothing makes me more productive than the last minute. ,F
0732.jpg,When you finally finish the PhD    Fortunately the bad days are over.   Now it's time for even worse days,C
0733.jpg,Me gathering my few remaining neurons to try finish the manuscript       Thanks for coming,C
0734.jpg,"Einstein's girlfriend walked up to him and exclaimed, ""I need two things from you, time and space!""  He looked at her inquiringly and asked, ""What's the second thing?""",F
0735.jpg,"Advisor: ""Would you like to show me your new year's plan?""  Me:""You surely remember it from last year""  ",F
0736.jpg,no image ,F
0737.jpg,"Meanwhile, in an Alternate Universe...",F
0738.jpg,"put the most important information at the end of the sentence! consider.   I confessed my love for him at the end of the semester   not bad, right? but it could be ",F
0739.jpg,8 hours playing video games      1 hour online class ,C
0740.jpg,School.      College.      My crush.      Me,A
0741.jpg,Finally clicking the submit button after writing a bullet proof response to reviewers.    Signature look of superiority ,C
0742.jpg,hey.  hello.  who are you?  i am fine.  did i ask?  fine is my name,F
0743.jpg,Just another day of analysis      R Warnings  Me  shut,C
0744.jpg,"You find an interesting article    The introduction is good    It keeps getting better.    ""Sign up to continue""",C
0745.jpg,When you're trying to grab a bite but the wedding photographer won't leave you alone,F
0746.jpg,"""The manuscript has been accpeted in its present form"" ",C
0747.jpg,My research topic     Me     Normal conversation ,C
0748.jpg,communisim ,B
0749.jpg,communisim ,B
0750.jpg,Sometimes you just need to see a picture of an otter showing you her new baby. ,F
0751.jpg,What do you do when u feel streesed? I go to the temple..  Good.. & you do meditation there?  No.. I mix-up all shoes kept outside and watch people more stressed than me.. and my stress goes away,F
0752.jpg,When you get failed in exam.  When you find out that your Friend failed too.,C
0753.jpg,"My crush uploads her pic with caption ""Sun kissed""  Me: Stop kissing my crush or you'll die",A
0754.jpg,Thanos used tiktok,D
0755.jpg,No text,F
0756.jpg,"Co-authors  we happy?  Me, first and corresponding author   Your ms was accepted in its current form.  Yeah, we happy.",C
0757.jpg,Me: *downloading papers from scihub*.  police: wouldn't that make you.     A CRIMINAL?!,C
0758.jpg,Writers adding a comma.          Removing it the next day,C
0759.jpg,A foolish man shares his problems. a wise man shares his memes,F
0760.jpg,Reviewer     Article rejected.     Good manucript.      Journal.      #ILOVEPHD,C
0761.jpg,Me when my phone is on charging ,F
0762.jpg,Me on the first working day after a long weekend,F
0763.jpg,Drugs.      Alcohol.    Private job,A
0764.jpg,CTC      IN HAND,A
0765.jpg,How close I get to qutting my job every day. ,F
0766.jpg,Wrong.     Right.    Me working from home: ,F
0767.jpg,When manager asks you to attend 7am client call after you worked till 2am last night,F
0768.jpg,When I force bae to apply a sheet mask with me ,A
0769.jpg,When you really need to understand something and you finally find a paper with a clear explanation.      You truly are the king of kings,C
0770.jpg,When you and your homie arguing about something and the google search confirms your intellectual dominance. ,A
0771.jpg,Reviewer's comments.       My edits,C
0772.jpg,Things that disappear when you need them the most       Your PhD advisor ,C
0773.jpg,"Open Access journal: ""Our fee is 2000$"".        Me: ""I have 3$""",C
0774.jpg,Scholars.   Normal people.     Society.         Obsessing over strange stuff,C
0775.jpg,"*Random reviewer's comment*.     Me:""What? Wanna fight?""",C
